id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
273883	-284150	-283900	250	35261177468649406453742	13645639389	32369.32	0.00	0.00	0.00	1	1	100	0.10	0.0000	0.0000	0.0000	0.0000	0x93C88635a15D923f72742d63033F6f3e93eE9815	1	-887272	887272	20	20	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
273886	-284200	-283900	300	658226032393252306451	366128887	715.65	0.00	0.00	0.00	1	1	100	0.10	0.0000	0.0000	0.0000	0.0000	0x3F6583969E96f5CAA02118807be5515EF109c520	1	-887272	887272	0	0	3	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
273892	-284050	-284000	50	8169528438036618523438	1449479255	5787.50	0.00	0.00	0.00	1	1	100	0.04	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
273917	-284200	-283850	350	409531104994151719080	186560274	404.02	0.00	0.00	0.00	3	3	100	0.04	0.0000	0.0000	0.0000	0.0000	0x4C7e448C07DfFcc2e4381534c89Cd3309fEe8146	1	-887272	887272	-50	-50	3	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
273952	-286450	-283950	2500	33574050956894040116	758029825	775.86	0.00	0.00	0.00	22	8	36	0.20	0.0000	0.0000	0.0000	0.0000	0x1d1EE810552c04671Ca2cD65CAF3ed3Db3bb60e8	0	0	0	0	0	25	24	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
273954	-284200	-283800	400	17022641274648248849672	8100646339	17139.67	0.00	0.00	0.00	1	1	100	0.10	0.0000	0.0000	0.0000	0.0000	0x1C689487CdD86Ef06485fE20d5fDA3f41E853A4F	1	-887272	887272	0	0	4	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
273955	-284300	-283700	600	4045574413033851641264	1909315262	4057.52	0.00	0.00	0.00	1	1	100	0.10	0.0000	0.0000	0.0000	0.0000	0xF0f408B2e3d9B02BD01D07E298623a1E099AF30c	1	-887272	887272	-100	-100	6	5	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
273960	-284100	-283850	250	799162860200425408253	271109593	695.47	0.00	0.00	0.00	1	1	100	0.10	0.0000	0.0000	0.0000	0.0000	0xd04A1CfaD2d77B8bd5C18a53cc128A87Ed9ff36C	1	-887272	887272	0	0	2	2	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274063	-284000	-283950	50	2436470465880802141177	4095168475	5388.93	0.00	0.00	0.00	2	2	100	0.10	0.0000	0.0000	0.0000	0.0000	0xbB65a9E831d4d8355988A6D73b3965Bbcf04DB36	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274096	-284150	-283750	400	4205475257886084260503	2928284446	5161.39	0.00	0.00	0.00	1	1	100	0.10	0.0000	0.0000	0.0000	0.0000	0x1A505721C545407F17a3A661db47135e44fFd6FB	1	-286268	-281433	0	0	4	3	100	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274116	-284950	-282950	2000	4857740410792159425	2284263	4.86	0.00	0.00	0.00	22	22	100	0.20	0.0000	0.0000	0.0000	0.0000	0x63fABafdE462a6A2f21AB100D0B46D2710E4CFd5	0	0	0	0	0	0	0	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
274119	-285050	-283050	2000	16913328109119233516	9668954	18.65	0.00	0.00	0.00	2	2	100	0.10	0.0000	0.0000	0.0000	0.0000	0x5CcF4cf772E60bD9cB0F34B8199624245e3D1923	0	0	0	0	0	20	19	0	0x324963c267c354c7660ce8ca3f5f167e05649970	wS/USDC.e
