time,price
1735264800,0.0
1735268400,0.991727
1735272000,0.990602
1735275600,0.990271
1735279200,0.989307
1735282800,0.989109
1735286400,0.988554
1735290000,0.994029
1735293600,0.998319
1735304400,0.998009
1735308000,0.997639
1735311600,0.997652
1735318800,0.995403
1735322400,0.997072
1735326000,0.997452
1735329600,0.996673
1735333200,0.996435
1735336800,0.996286
1735340400,0.995732
1735351200,0.995602
1735354800,0.997304
1735362000,0.997765
1735365600,0.997829
1735369200,0.997161
1735372800,0.997157
1735376400,0.997479
1735380000,0.997574
1735383600,0.997395
1735387200,0.997049
1735390800,0.996633
1735394400,0.997469
1735398000,0.997979
1735401600,0.997895
1735405200,0.998114
1735408800,0.998826
1735412400,0.998743
1735419600,0.998995
1735423200,0.999057
1735430400,0.998937
1735437600,0.999203
1735441200,0.998916
1735444800,0.99885
1735452000,0.999059
1735455600,0.999217
1735459200,0.999068
1735462800,0.999282
1735466400,0.999299
1735473600,0.999413
1735480800,0.999621
1735484400,0.999412
1735488000,0.999407
1735509600,0.999366
1735513200,0.999607
1735516800,0.999687
1735520400,0.999738
1735524000,0.999875
1735527600,0.999661
1735531200,0.999206
1735534800,0.999416
1735538400,0.999442
1735542000,0.999626
1735552800,0.999555
1735556400,0.999554
1735560000,1.000087
1735563600,0.99988
1735567200,0.999656
1735570800,0.999648
1735574400,0.999638
1735578000,0.999839
1735581600,0.999759
1735585200,0.999299
1735588800,0.999291
1735592400,0.998656
1735596000,0.998994
1735599600,0.999073
1735603200,1.000041
1735606800,0.999446
1735610400,0.999474
1735614000,0.999493
1735617600,0.99945
1735621200,0.999451
1735624800,0.999666
1735628400,0.999444
1735632000,0.9997
1735635600,0.99938
1735639200,0.999346
1735642800,0.999285
1735646400,0.99952
1735650000,0.999166
1735653600,0.999162
1735657200,0.999048
1735660800,0.999311
1735664400,0.999156
1735668000,0.999096
1735671600,0.999211
1735675200,0.999269
1735678800,0.998381
1735682400,0.998646
1735689600,0.998698
1735693200,0.998792
1735696800,0.9988
1735700400,0.999024
1735704000,0.999129
1735707600,0.998946
1735711200,0.999138
1735714800,0.999297
1735718400,0.999307
1735722000,0.999107
1735725600,0.999349
1735729200,0.999507
1735732800,0.99961
1735736400,0.999737
1735740000,0.999606
1735743600,0.999637
1735747200,0.999691
1735750800,0.999597
1735754400,0.999723
1735758000,0.999759
1735761600,0.99996
1735765200,0.999801
1735768800,0.999788
1735772400,0.999957
1735776000,0.999753
1735779600,0.999749
1735783200,0.999736
1735786800,0.999908
1735790400,0.999702
1735794000,0.999863
1735797600,0.999851
1735801200,0.999901
1735804800,1.000007
1735808400,0.999794
1735812000,1.0
1735815600,0.999734
1735819200,0.99985
1735822800,0.999829
1735826400,0.999643
1735830000,0.999617
1735833600,0.999838
1735837200,0.9999
1735840800,0.999729
1735844400,0.999914
1735848000,0.999704
1735851600,0.999704
1735855200,0.999703
1735858800,0.999859
1735862400,0.999867
1735866000,0.999876
1735869600,0.999879
1735873200,0.999879
1735876800,0.999686
1735880400,0.999687
1735884000,0.999686
1735887600,0.999682
1735891200,0.999881
1735894800,0.999865
1735898400,0.999712
1735902000,0.999913
1735905600,0.999922
1735909200,0.999981
1735912800,1.000007
1735916400,1.000084
1735920000,1.000096
1735923600,0.999884
1735927200,1.000045
1735930800,1.00007
1735934400,0.999869
1735938000,1.000075
1735941600,1.000075
1735945200,1.000106
1735948800,0.999896
1735952400,0.999893
1735956000,0.999892
1735959600,1.000092
1735963200,0.999891
1735966800,1.000091
1735970400,0.999892
1735974000,1.000093
1735977600,0.999899
1735981200,0.999887
1735984800,0.999875
1735988400,0.999868
1735992000,1.000068
1735995600,1.000068
1735999200,1.000074
1736002800,1.000076
1736006400,0.999873
1736010000,0.999869
1736013600,0.999855
1736017200,0.999822
1736020800,1.0
1736024400,0.999997
1736028000,0.9998
1736031600,0.999798
1736035200,0.999797
1736038800,0.999796
1736042400,0.999781
1736046000,0.999975
1736049600,0.999774
1736053200,0.99977
1736056800,0.999769
1736060400,0.999974
1736064000,0.999774
1736067600,0.99976
1736071200,0.999756
1736074800,0.999714
1736078400,0.999714
1736082000,0.999915
1736085600,0.999701
1736089200,0.999888
1736092800,0.99969
1736096400,0.999892
1736100000,0.999693
1736103600,0.99991
1736107200,0.999717
1736110800,0.999926
1736114400,0.999726
1736118000,0.999927
1736121600,0.999729
1736125200,0.999729
1736128800,0.999936
1736132400,0.999942
1736136000,0.999742
1736139600,0.99996
1736143200,0.999761
1736146800,1.000001
1736150400,0.999809
1736154000,0.999795
1736157600,0.999994
1736161200,0.999998
1736164800,0.999798
1736168400,0.999797
1736172000,0.999799
1736175600,1.000005
1736179200,1.000001
1736182800,0.999997
1736186400,0.99979
1736190000,0.999984
1736193600,0.999789
1736197200,0.999787
1736200800,0.999769
1736204400,0.99977
1736208000,0.99977
1736211600,0.999766
1736215200,0.999751
1736218800,0.999732
1736222400,0.999732
1736226000,0.999732
1736229600,0.999932
1736233200,0.999933
1736236800,0.999731
1736240400,0.999731
1736244000,0.999727
1736247600,0.999726
1736251200,0.99972
1736254800,0.999716
1736258400,0.999713
1736262000,0.999709
1736265600,0.999902
1736269200,0.999701
1736272800,0.999894
1736276400,0.999695
1736280000,0.999887
1736283600,0.999888
1736287200,0.999687
1736290800,0.999686
1736294400,0.999885
1736298000,0.999684
1736301600,0.999684
1736305200,0.999682
1736308800,0.99988
1736312400,0.999679
1736316000,0.999671
1736319600,0.999612
1736323200,0.999812
1736326800,0.99961
1736334000,0.99981
1736337600,0.999809
1736341200,0.999803
1736344800,0.999787
1736348400,0.999787
1736352000,0.999589
1736355600,0.999588
1736359200,0.99978
1736362800,0.999786
1736366400,0.999589
1736370000,0.999801
1736373600,0.999607
1736377200,0.999816
1736380800,0.999862
1736384400,0.999729
1736388000,0.999798
1736391600,1.000017
1736395200,1.000003
