id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
126996	-1	0	1	36312.175516	2610.469464	0	38920.951272	38922.644980000005	1.8883239640630036	0.15	1.77	100	100	0.9999	1.2000	0.0001	1.2000	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
99422	0	1	1	949.711438	2114.789833	0	3064.581524	3064.501271	0.15287453001366666	0.15	1.82	0	100	1.2000	1.2001	0.0001	1.2000	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
142044	12	13	1	2566.26988	391.975233	2957.772456	0	2958.245113	0.15220866355772367	0.15	1.88	0	86	1.2012	1.2013	0.0001	1.2013	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
154943	8	9	1	874.614829	526.604733	0	1401.979702	1401.219562	0.06995162256669835	0.15	1.82	100	100	1.2008	1.2009	0.0001	1.2009	0xd9cf2e3e07955af2f272030e35a948326cf733f7	TRUE	-887272	887272	0	0	0	0	100
191857	3	4	1	4106.1132	30197.161767	0	34304.893066	34303.274967000005	1.5963328234817094	0.14	1.70	0	50	1.2003	1.2004	0.0001	1.2004	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
191859	3	4	1	1012.228336	7444.125702	0	8456.752927	8456.354038	0.3847481604321288	0.14	1.66	0	50	1.2003	1.2004	0.0001	1.2004	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
126998	-1	0	1	2850.621387	204.930164	0	3055.418589	3055.551551	0.14575639775231392	0.14	1.74	100	100	0.9999	1.2000	0.0001	1.2000	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
99491	1	2	1	2938.953265	124.721924	0	3064.122025	3063.675189	0.14353047645595834	0.14	1.71	0	96	1.2001	1.2002	0.0001	1.2002	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
140942	11	12	1	696.984338	2283.761137	2978.147482	0	2980.7454749999997	0.14313218302751027	0.14	1.75	0	43	1.2011	1.2012	0.0001	1.2012	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
100442	4	5	1	420.951793	730.771561	1151.407948	0	1151.723354	0.05389274088191093	0.14	1.71	95	82	1.2004	1.2005	0.0001	1.2005	0x5fa125ee772e5fd6f5028422751a5e6751993459	FALSE	0	0	0	0	0	0	0
