autoRebalance	cutoffTickLow	cutoffTickHigh	bufferTicksBelow	bufferTicksAbove	positionCount	avgTickSpacesBelow	avgTickSpacesAbove	avgDustBP	avgPriceImpactBP	avgSlippageBP
True	-887272	887272	20	30	2	0.0	0.0	1500.0	15.0	15.0
True	-887272	887272	20	50	1	17.0	6.0	100.0	50.0	50.0
True	-887272	887272	25	10	15	0.9333333333333333	3.4	100.0	50.0	50.0
True	-887272	887272	25	25	135	1.1185185185185185	1.1481481481481481	165.92592592592592	53.0	52.25925925925926
True	-887272	887272	25	50	1	1.0	1.0	100.0	50.0	50.0
True	-887272	887272	30	-40	2	4.0	3.0	100.0	50.0	50.0
True	-887272	887272	30	10	1	0.0	0.0	1500.0	15.0	11.0
True	-887272	887272	30	30	49	2.142857142857143	2.061224489795918	1248.9795918367347	18.79591836734694	18.714285714285715
True	-887272	887272	31	31	2	11.0	10.0	100.0	50.0	50.0
True	-887272	887272	33	33	1	0.0	3.0	100.0	50.0	50.0
True	-887272	887272	40	-90	2	8.0	7.0	100.0	50.0	50.0
True	-887272	887272	40	-70	31	3.161290322580645	2.161290322580645	100.0	50.0	50.0
True	-887272	887272	40	40	7	0.0	0.0	1500.0	15.0	15.0
True	-887272	887272	50	0	1	0.0	0.0	100.0	50.0	50.0
True	-887272	887272	50	10	2	0.0	0.0	100.0	50.0	50.0
True	-887272	887272	50	20	1	2.0	1.0	100.0	50.0	50.0
True	-887272	887272	50	25	18	2.5555555555555554	2.4444444444444446	100.0	23.333333333333332	53.333333333333336
True	-887272	887272	50	50	485	2.5298969072164947	1.824742268041237	99.17525773195877	40.64742268041237	48.24742268041237
True	-887272	887272	50	300	8	5.75	4.75	100.0	300.0	300.0
True	-887272	887272	60	60	9	1.0	0.4444444444444444	55.55555555555556	45.55555555555556	45.55555555555556
True	-887272	887272	80	-80	2	3.0	4.0	300.0	300.0	300.0
True	-887272	887272	80	100	8	4.25	3.75	100.0	100.0	100.0
True	-887272	887272	100	-100	6	4.666666666666667	3.3333333333333335	233.33333333333334	40.0	73.33333333333333
True	-887272	887272	100	0	17	2.823529411764706	4.176470588235294	100.0	50.0	50.0
True	-887272	887272	100	50	69	2.6956521739130435	2.3333333333333335	100.0	50.0	50.0
True	-887272	887272	100	100	483	5.811594202898551	5.395445134575569	100.0	81.36645962732919	84.43064182194617
True	-887272	887272	100	200	13	2.1538461538461537	2.3846153846153846	100.0	50.0	50.0
True	-887272	887272	100	250	13	10.307692307692308	9.538461538461538	50.0	253.84615384615384	253.84615384615384
