id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
110159	-276357	-276356	1	92.98579927941121	144.714969	0.0	237.402139	237.7007682794112	0.8495841899946271	10.72	130.46	76	0		0.0	0.0	0.0	0.0	0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07	0	0	0	0	0	0	0	0
172140	-276341	-276340	1	481.9388890236736	2313.811823	2799.7677247821525	0.0	2795.7507120236737	9.30988867232484	9.99	121.55	64	0	9.752987861766371e-07	0.0	0.0	0.0	0.0	0xf47856c417b9cb17ac257de2ae86d39018022f9d	true	-887272	887272	0	0	0	0	100
137410	-276229	-276228	1	28.2104226518894	59.284969	86.93274062499118	0.0	87.49539165188939	0.285861561447463	9.8	119.25	69	0		0.0	0.0	0.0	0.0	0x97b73b8eaa8662381383a67e0dbcab67f78337dd	0	0	0	0	0	0	0	0
146394	-276344	-276325	19	59.93857963698809	200.363727	205.5290382183084	54.928292	260.3023066369881	0.7011291535312452	8.08	98.31	92	0		0.0	0.0	0.0	0.0	0xdb09194d9ca57ae286ecdb0b423e832306b8fbe4	0	0	0	0	0	0	0	0
206987	-276354	-276353	1	15.68121767605182	38.780377	32.58228939186812	21.928945	54.461594676051824	0.1276774887319145	7.03	85.57	100	0	1.8013757152601784e-08	0.0	0.0	0.0	0.0	0x5b68b0e0d01b47e66a5ee927a0c556f53d13225b	0	0	0	0	0	0	0	0
80320	-276361	-276348	13	14.838026665891007	14.614664	0.0	29.412324	29.452690665891005	0.4850941453874058	6.18	75.15	67	0	2.61554483071e-05	0.0	0.0	0.0	0.0	0xc6685b08b58f23d3c8baff233dfaf264491f5846	0	0	0	0	0	0	0	0
80872	-276362	-276347	15	10.66797397409638	10.498542	0.0	21.13802	21.166515974096384	0.3322719951487263	5.89	71.62	67	0		0.0	0.0	0.0	0.0	0xc6685b08b58f23d3c8baff233dfaf264491f5846	0	0	0	0	0	0	0	0
109924	-276366	-276349	17	1.8588946118457967	2.409134	1.0556511652377367	3.209909	4.268028611845796	0.0083588654945927	5.88	71.48	100	0		0.0	0.0	0.0	0.0	0x1dcb7879c4d213cb57042c9ee20e6d27ed098ba0	0	0	0	0	0	0	0	0
171943	-276341	-276340	1	1473.1558151821384	15181.689742	16681.026919650914	0.0	16654.84555718214	64.54730683256696	5.81	70.73	61	0	1.6731466323e-06	0.0	0.0	0.0	0.0	0xf1bc5de15f4b56d9db4b3e6682832547d72844de	0	0	0	0	0	0	0	0
164722	-276352	-276327	25	251.444105705822	168.870796	252.3354670420052	167.981032	420.314901705822	0.7953465868770562	5.68	69.07	100	0		0.0	0.0	0.0	0.0	0x28165971e4d592ca6c45a3786786ec2f6b4b8d23	0	0	0	0	0	0	0	0
