wallet	ichi_vault	apr	total_days	deposit_value	reward_value	deposit_time	deposit_asset0	deposit_asset1
0x63284c54a82ca1785a0a03fa8402efd735edb333	0x0631508b6693731dd9f7baea849bf9eec5e74462	27.04	39	112.38	3.1674	25/04/09 00:04:00	USDC.e	scBTC
0x8f9b71126492912f380ef4a2bc77fb972d3636ff	0x0631508b6693731dd9f7baea849bf9eec5e74462	26.37	26	282.22	5.1232	25/04/21 22:04:00	USDC.e	scBTC
0x1563c4751ad2be48fd17464b73585b6ba8b6a5f0	0x0631508b6693731dd9f7baea849bf9eec5e74462	25.98	31	91.37	2.0160	25/04/02 20:04:00	USDCE	scBTC
0x81f0fabca380ebf6c78e291a89b2148e78b78b38	0x0631508b6693731dd9f7baea849bf9eec5e74462	25.45	28	257.66	5.0301	25/04/19 23:04:00	USDCE	scBTC
0xcd143fe8aab71d0ef3dbcdb3222e13433e1a9e64	0x0631508b6693731dd9f7baea849bf9eec5e74462	25.44	24	36.19	0.6028	25/04/23 04:04:00	USDC.e	scBTC
0x75a99f71613b8bdcada498b56a0d8b31cb8caf50	0x0631508b6693731dd9f7baea849bf9eec5e74462	24.79	6	10.85	0.0442	25/03/13 03:03:00	USDCE	scBTC
0x0ddc62c27a0409fe98c8b3bf9516d7e8c0ab389f	0x0631508b6693731dd9f7baea849bf9eec5e74462	24.58	39	150.07	3.9418	25/04/07 20:04:00	USDCE	scBTC
0xe44d701efacb70ba69f9c98cf5bd701cbaf2d0d3	0x0631508b6693731dd9f7baea849bf9eec5e74462	24.38	31	4459.74	92.3350	25/03/30 06:03:00	USDCE	scBTC
0x09e5380e70129c2e07cd7627f1ca600243d95ea5	0x0631508b6693731dd9f7baea849bf9eec5e74462	24.17	58	250.32	9.6132	25/03/11 13:03:00	USDCE	scBTC
0xc56c3bc08e372ad3a71017c191ca0148184e672b	0xf8fa00354778a31cbcc5988ea578a227d3982675	24.11	4	3190.60	8.4294	25/05/03 15:05:00	USDCE	scBTC
0xa792f5eb01c3f856502e2e56368c900c8882b2f9	0xf8fa00354778a31cbcc5988ea578a227d3982675	24.03	5	335.37	1.1039	25/03/25 08:03:00	USDCE	scBTC
0x90b87b91a67b73526ff851b3da5f22f195734901	0x0631508b6693731dd9f7baea849bf9eec5e74462	23.62	1	2951.49	1.9099	25/03/13 03:03:00	USDCE	scBTC
0x28165971e4d592ca6c45a3786786ec2f6b4b8d23	0xf8fa00354778a31cbcc5988ea578a227d3982675	23.31	9	493.94	2.8391	25/04/30 03:04:00	USDCE	scBTC
0xbae16ff58aa9620465c869594742933d7b16f905	0xf8fa00354778a31cbcc5988ea578a227d3982675	23.04	15	17.92	0.1697	25/03/19 23:03:00	USDCE	scBTC
0xe9a71041a30aa685d19164561d699a8f33fa0730	0x0631508b6693731dd9f7baea849bf9eec5e74462	22.96	57	11911.28	427.0921	25/03/13 04:03:00	USDCE	scBTC
0x28252f7a9658a99b34ffaebf23816af52638d060	0xf8fa00354778a31cbcc5988ea578a227d3982675	22.75	56	1015.29	35.0936	25/03/22 15:03:00	USDC.e	scBTC
0x235a3a8ee3511efb71262e657880a4f7eb3f2600	0x0631508b6693731dd9f7baea849bf9eec5e74462	22.55	1	645.00	0.3984	25/03/13 20:03:00	USDCE	scBTC
0x6735a47274c778dceab2bfa96a1ee34630d11d06	0xf8fa00354778a31cbcc5988ea578a227d3982675	22.42	9	94991.18	525.0710	25/03/13 09:03:00	USDCE	scBTC
0x9f85f324fb9c649ad694a167482067d90920e9e8	0x0631508b6693731dd9f7baea849bf9eec5e74462	22.03	50	2155.56	65.0490	25/03/13 03:03:00	USDCE	scBTC
0xd42a08d2f4cb730ff8485f744abed7368712c112	0x0631508b6693731dd9f7baea849bf9eec5e74462	21.86	9	853.04	4.5979	25/04/26 12:04:00	USDCE	scBTC
0x93ae6eef133a1097167a15f585eacf1ddf89151e	0x0631508b6693731dd9f7baea849bf9eec5e74462	21.73	21	1094.64	13.6881	25/04/26 17:04:00	USDCE	scBTC
0x43dec30f92cf1388a1e777b2644b08f4caac07d0	0x0631508b6693731dd9f7baea849bf9eec5e74462	21.61	62	9.56	0.3510	25/03/13 13:03:00	USDCE	scBTC
0x5584a353528dfeb2fc751ab48b72d32726c79507	0xf8fa00354778a31cbcc5988ea578a227d3982675	21.45	13	1474.61	11.2669	25/03/24 12:03:00	USDCE	scBTC
0x2c6c959cc048a4c4749424c6ac8cc094bc066782	0x0631508b6693731dd9f7baea849bf9eec5e74462	21.36	61	906.50	32.3568	25/03/14 14:03:00	USDCE	scBTC
0x6fbe5d1008bd1157ed727789c38b68aa8b564d75	0x0631508b6693731dd9f7baea849bf9eec5e74462	20.44	62	6.20	0.2126	25/03/16 19:03:00	USDC.e	scBTC
0x6d1e0084a6910a8803ab7c22483a1a2db3f1001a	0x0631508b6693731dd9f7baea849bf9eec5e74462	19.82	42	53.21	1.2135	25/03/14 16:03:00	USDCE	scBTC
0x8f25818ff64be1abee91abca70c306b33b602062	0xf8fa00354778a31cbcc5988ea578a227d3982675	19.75	11	39996.45	238.0052	25/03/28 08:03:00	USDCE	scBTC
0x44a81a1c026a2e5a2bc0d7f23249fcbe2128c421	0x0631508b6693731dd9f7baea849bf9eec5e74462	18.76	7	20.58	0.0741	25/03/13 14:03:00	USDCE	scBTC
0x5484a486356b4a0befd53eaa48cb13946d871f50	0xf8fa00354778a31cbcc5988ea578a227d3982675	18.64	1	400.00	0.2042	25/03/13 03:03:00	USDCE	scBTC
0xf5e7e15c6d11bac90579aaca28f597789b0b13b2	0xf8fa00354778a31cbcc5988ea578a227d3982675	18.18	37	50.37	0.9283	25/04/04 18:04:00	USDCE	scBTC
0x0d61d3e013ad0eebde19bfec51bc1ae0a50539f7	0x0631508b6693731dd9f7baea849bf9eec5e74462	18.07	60	28.42	0.8344	25/03/18 18:03:00	USDC.e	scBTC
0x7dd9c8b0db70cfe1ecb2596e87e3d4fb74010105	0xf8fa00354778a31cbcc5988ea578a227d3982675	17.34	20	4066.21	38.6416	25/03/12 06:03:00	USDCE	scBTC
0x8aecab6c0cf08011b9895845615ff6bf6729ba3a	0xf8fa00354778a31cbcc5988ea578a227d3982675	17.13	11	30.51	0.1526	25/05/06 09:05:00	USDC.e	scBTC
0xe3053ce05c1c256e2d10c9fe92435466bda4101f	0x0631508b6693731dd9f7baea849bf9eec5e74462	17.06	16	222.90	1.6671	25/03/13 05:03:00	USDCE	scBTC
0x44a81a1c026a2e5a2bc0d7f23249fcbe2128c421	0xf8fa00354778a31cbcc5988ea578a227d3982675	16.23	1	42.21	0.0188	25/03/19 14:03:00	USDCE	scBTC
0xf68d4b506ed84e4c9f30652da9c511a32bd1a192	0x0631508b6693731dd9f7baea849bf9eec5e74462	15.28	1	46.23	0.0194	25/05/03 17:05:00	USDCE	scBTC
0x4e430992db6f3bddbc6a50d1513845f087e9af4a	0xf8fa00354778a31cbcc5988ea578a227d3982675	15.17	4	19.94	0.0271	25/05/13 19:05:00	USDC.e	scBTC
0x7dd9c8b0db70cfe1ecb2596e87e3d4fb74010105	0x0631508b6693731dd9f7baea849bf9eec5e74462	14.89	4	664.95	1.0852	25/03/13 23:03:00	USDCE	scBTC
0xf1196bf726ed9227507f5a8b7c87ae177124db2b	0x0631508b6693731dd9f7baea849bf9eec5e74462	14.66	32	81.31	1.0449	25/03/13 14:03:00	USDCE	scBTC
0xa792f5eb01c3f856502e2e56368c900c8882b2f9	0x0631508b6693731dd9f7baea849bf9eec5e74462	13.67	4	436.49	0.6540	25/03/13 03:03:00	USDCE	scBTC
0xafe350c76d31b73b5901eaccb86f2834c5ec0a3b	0xf8fa00354778a31cbcc5988ea578a227d3982675	13.61	50	74453.29	1388.4964	25/03/19 22:03:00	USDCE	scBTC
0x32b93525648df184e8a603a4719fdcec5882401c	0x0631508b6693731dd9f7baea849bf9eec5e74462	11.92	63	1097.87	22.5964	25/03/14 00:03:00	USDCE	scBTC
0x7aeab3114db663a819196a32649680552c770621	0x0631508b6693731dd9f7baea849bf9eec5e74462	10.79	1	2701.40	0.7982	25/04/09 02:04:00	USDCE	scBTC
0x1b648ade1ef219c87987cd60eba069a7faf1621f	0x0631508b6693731dd9f7baea849bf9eec5e74462	10.74	57	28427.03	476.9247	25/03/13 03:03:00	USDCE	scBTC
0x0bcf7b084613f1ca63fa47918cc5f3b383be4aab	0x0631508b6693731dd9f7baea849bf9eec5e74462	9.88	1	543.01	0.1471	25/03/13 03:03:00	USDCE	scBTC
0xd55b6427ffbef64f90b8c7150e082b485dc60229	0xf8fa00354778a31cbcc5988ea578a227d3982675	9.42	32	213.81	1.7650	25/04/15 01:04:00	USDC.e	scBTC
0xabea63c0967f2f5faf4b262c0104233ab5a56ac8	0x0631508b6693731dd9f7baea849bf9eec5e74462	9.27	16	33591.82	136.5101	25/03/13 05:03:00	USDCE	scBTC
0x2a48d3be1b3603af83ff5f72df5b14b8cfd37164	0x0631508b6693731dd9f7baea849bf9eec5e74462	7.98	62	17309.60	233.8380	25/03/16 06:03:00	USDC.e	scBTC
0xea869669210a69b035b382e0f2a498b87dc6a45c	0x0631508b6693731dd9f7baea849bf9eec5e74462	6.94	36	214820.06	1470.9923	25/03/14 00:03:00	USDCE	scBTC
0xaf79312eb821871208ac76a80c8e282f8796964e	0xf8fa00354778a31cbcc5988ea578a227d3982675	6.92	25	388.54	1.8408	25/03/15 21:03:00	USDCE	scBTC
0x0770882b757be24ff1b753ea1094a85d67aae2dd	0x0631508b6693731dd9f7baea849bf9eec5e74462	6.40	1	1357.47	0.2380	25/04/07 03:04:00	USDCE	scBTC
0xf5a45f4d6f237b4e832110ebe6385f781264b350	0xf8fa00354778a31cbcc5988ea578a227d3982675	6.34	35	3049.35	18.0042	25/04/13 01:04:00	USDC.e	scBTC
0x5b9147976d5f1046c78e1ef035a609471cd92dea	0xf8fa00354778a31cbcc5988ea578a227d3982675	6.17	9	1992.00	3.0292	25/04/23 03:04:00	USDCE	scBTC
0x730a1eaa28f844e7f02ae910b32644d7584f675c	0x0631508b6693731dd9f7baea849bf9eec5e74462	6.04	63	472.13	4.9230	25/03/13 10:03:00	USDCE	scBTC
0xb9d31586015b9866c34abb6f1a2ee5929b7a4fc2	0x0631508b6693731dd9f7baea849bf9eec5e74462	5.89	2	493.14	0.1592	25/04/12 13:04:00	USDCE	scBTC
