id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,in_range,in_range_swaps,impermanent_loss,price_lower,price_upper,price_range,price_mid,wallet,auto_rebalance,cutoff_tick_low,cutoff_tick_high,buffer_ticks_below,buffer_ticks_above,tick_spaces_below,tick_spaces_above,dust_bp
"9273965","-68000","-66000","2000","92.672065","0.00055403","89.611817","0.00059167","92.67261903","0.08492513","0.05","0.58","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10675313","-70000","-64000","6000","6.023703","0.00011442","6.885338","0.00010342","6.02381742","0.0037320400000000003","0.05","0.60","0","0","0.00","0.0009","0.0017","0.0007","0.0013","undefined","0","0","0","0","0","0","0","0"
"12542265","-70000","-68000","2000","4.999979","0.00009633","5.721709","0.00008887","5.00007533","0.001062","0.05","0.55","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"10398234","-68000","-66000","2000","25010.089218","0.17966719","11302.346405","0.3500644","25010.268885190002","12.95500998","0.04","0.45","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"13147582","-70000","-68000","2000","4450.245846","0.03208459","0.394751","0.00000147","4450.277930589999","0.39475247","0.04","0.46","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"9419323","-68000","-66000","2000","39.349882","0.00013157","32.827928","0.00020904","39.35001357","0.03023725","0.04","0.50","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9134202","-68000","-66000","2000","6.881609","0.00003681","6.198022","0.00004501","6.88164581","0.004874","0.04","0.43","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9451527","-68000","-66000","2000","72.846349","0.00031147","64.918911","0.00040601","72.84666047","0.03839128","0.03","0.34","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9272372","-68000","-66000","2000","29.548504","0.00017637","24.856813","0.00023303","29.54868037","0.018818010000000003","0.03","0.40","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9013375","-68000","-66000","2000","212.018335","0.00229023","253.569509","0.00178788","212.02062523","0.07114108","0.02","0.20","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9195695","-68000","-66000","2000","80.499861","0.00060097","82.835113","0.00057323","80.50046196999999","0.024139","0.02","0.19","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9195691","-68000","-66000","2000","67.292402","0.00050237","69.244514","0.00047918","67.29290437","0.020179","0.02","0.19","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"12708948","-70000","-68000","2000","23.311474","0.00044913","32.69102","0.00035296","23.31192313","0.001445","0.02","0.19","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"9855829","-68000","-66000","2000","5249.996912","0.01516182","5473.472306","0.0125931","5250.012073819999","0.72722717","0.01","0.10","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"13218273","-70000","-68000","2000","43125.685799","0.19050295","0.511605","0.00000015","43125.87630195","0.51160515","0.01","0.07","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"13286371","-70000","-68000","2000","20557.479358","0.08006916","9571.935078","0.03393575","20557.559427160002","0.49231212","0.01","0.17","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"10032828","-68000","-66000","2000","3886.47879","0.02952541","5400.904683","0.01169711","3886.5083154100003","0.40594763","0.01","0.08","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10666746","-68000","-66000","2000","3274.914799","0.18988525","14066.351628","0.05608886","3275.10468425","0.38376029","0.01","0.11","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9525851","-68000","-66000","2000","1937.784666","0.01252125","1990.672803","0.01189659","1937.79718725","0.33708393","0.01","0.12","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9265805","-68000","-66000","2000","1338.424575","0.00772704","1127.49573","0.01026339","1338.43230204","0.20549181","0.01","0.10","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"13580866","-70000","-68000","2000","39150.48751","0.17000495","42561.639492","0.13712353","39150.65751495","0.13587801","0.01","0.06","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"9249992","-68000","-66000","2000","28.074855","0.00019126","29.687272","0.0001721","28.07504626","0.006568","0.01","0.14","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"13129705","-70000","-68000","2000","374.999237","0.00351509","367.426073","0.00359129","375.00275209","0.00477","0.01","0.07","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"13157500","-70000","-68000","2000","228.286471","0.00098912","0.003219","0","228.28746012000002","0.003219","0.01","0.07","0","0","0.00","0.0009","0.0011","0.0002","0.0010","undefined","0","0","0","0","0","0","0","0"
"9420753","-68000","-66000","2000","9.017113","0.00003126","8.607546","0.00003607","9.01714426","0.00098401","0.01","0.07","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"13249813","-72000","-68000","4000","14.999993","0.00026679","14.930785","0.00026746","15.00025979","0.000187","0.01","0.09","0","0","0.00","0.0007","0.0011","0.0004","0.0009","undefined","0","0","0","0","0","0","0","0"
"9545903","-68000","-66000","2000","1263513.091118","6.98846386","1217249.28529","7.54097368","1263520.07958186","12.441338069999999","0.00","0.01","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10349882","-68000","-66000","2000","1072510.912955","3","916759.344462","4.82312336","1072513.912955","3.3388438","0.00","0.00","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9961587","-68000","-66000","2000","1281217.106782","5.2","1183378.728637","6.35292657","1281222.306782","3.212963","0.00","0.00","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"11610041","-68000","-66000","2000","1163013.721367","2.70041148","1389908.918205","0.12894829","1163016.4217784798","3.16023706","0.00","0.00","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"10837790","-68000","-66000","2000","326768.784399","3","466429.710318","1.34401486","326771.784399","3.0204052299999997","0.00","0.01","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
"9556435","-70000","-66000","4000","185825.006217","3.89286816","184275.726867","3.91097258","185828.89908516","2.8173620500000003","0.00","0.01","0","0","0.00","0.0009","0.0014","0.0004","0.0011","undefined","0","0","0","0","0","0","0","0"
"10353137","-68000","-66000","2000","341182.640498","0.8","283048.819364","1.47868589","341183.440498","2.66933156","0.00","0.01","0","0","0.00","0.0011","0.0014","0.0002","0.0012","undefined","0","0","0","0","0","0","0","0"
